Verse	Polarity	Emotion	Intensity	Text	Context
Psalm 35:1	Positive	Defiance	Medium	Contend, O LORD, with those who contend with me; fight against those who fight against me.	David is calling upon God to take up his cause against his enemies.
Psalm 35:2	Positive	Assertiveness	Medium	Take up shield and buckler; arise and come to my aid.	David is metaphorically asking God to arm Himself and come to his defense.
Psalm 35:3	Positive	Encouragement	Medium	Brandish spear and javelin against those who pursue me. Say to my soul, “I am your salvation.”	David seeks assurance of God's protection against his pursuers.
Psalm 35:4	Negative	Displeasure	High	May those who seek my life be disgraced and put to shame; may those who plot my ruin be turned back in dismay.	David implores that his enemies experience defeat and shame.
Psalm 35:5	Negative	Desire for retribution	Medium	May they be like chaff before the wind, with the angel of the LORD driving them away.	David asks for his adversaries to be scattered helplessly.
Psalm 35:6	Negative	Desire for retribution	Medium	May their path be dark and slippery, with the angel of the LORD pursuing them.	David wishes for treacherous circumstances to befall his enemies.
Psalm 35:7	Negative	Injustice	Medium	Without cause they hid their net for me; without cause they dug a pit for my soul.	David speaks of the unjust traps set by his enemies.
Psalm 35:8	Negative	Surprise	High	May ruin overtake them by surprise; may the net they hid ensnare them; may they fall into the pit, to their ruin.	David desires an ironic justice for his foes, that their schemes backfire unexpectedly.
Psalm 35:9	Positive	Joy	High	Then my soul will rejoice in the LORD and delight in His salvation.	David expresses anticipated joy in the deliverance he expects from God.
Psalm 35:10	Positive	Admiration	Medium	All my bones will exclaim, “Who is like You, O LORD, who rescues the poor from the strong, the poor and needy from those who rob them?”	David's praise is so profound it is as if his very bones cry out.
Psalm 35:11	Negative	Accusation	Medium	Malicious witnesses come forward; they question me on things I know nothing about.	David is confronted with false accusations from dishonest witnesses.
Psalm 35:12	Negative	Sorrow	Medium	They repay me evil for good, to the bereavement of my soul.	David laments the repay of good with evil, causing deep sorrow.
Psalm 35:13	Neutral	Compassion	Medium	Yet when they were ill, I put on sackcloth; I humbled myself with fasting, but my prayers returned to me unanswered.	David recalls his own past compassion for his enemies, despite the lack of reciprocity.
Psalm 35:14	Neutral	Emotional pain	Medium	I paced about as though for my friend or brother; I was bowed down with grief, like one mourning for his mother.	David describes the depth of his grief for his adversaries as if for a close family member.
Psalm 35:15	Negative	Malicious joy	High	But when I stumbled, they gathered in glee; attackers gathered against me without my knowledge. They slandered me without ceasing.	David details the malicious response of his enemies to his misfortune.
Psalm 35:16	Negative	Mockery	High	Like godless jesters at a feast, they gnashed their teeth at me.	David depicts his adversaries as mocking him cruelly.
Psalm 35:17	Neutral	Plea	Medium	How long, O Lord, will You look on? Rescue my soul from their ravages, my precious life from these lions.	David cries out to God for rescue from his vicious enemies.
Psalm 35:18	Positive	Joy	Medium	I will give You thanks in the great assembly; among the mighty throng I will praise You.	David promises public praise and thanksgiving to God upon deliverance.
Psalm 35:19	Negative	Concern	Medium	May those who gloat over my distress not be put to shame; may those who exalt themselves over me without cause not triumph.	David prays that his enemies do not find satisfaction in his troubles.
Psalm 35:20	Negative	Deceit	Medium	For they do not speak peace, but they devise deceitful schemes against the quiet ones in the land.	David accuses his enemies of plotting against those who live peacefully.
Psalm 35:21	Negative	Accusation	High	They gape at me and say, “Aha, aha! Our eyes have seen it.”	David is subjected to gloating and false accusations as his enemies claim to have witnessed his fault.
Psalm 35:22	Neutral	Plea	Medium	O LORD, You have seen this; do not be silent. Do not be far from me, O Lord.	David appeals to God's omniscience and begs for His presence and intervention.
Psalm 35:23	Neutral	Desire for justice	Medium	Awake and rise to my defense, to my cause, O God and my Lord.	David implores God to take action on his behalf in a legal metaphor.
Psalm 35:24	Neutral	Desire for justice	Medium	Vindicate me by Your righteousness, O LORD my God; do not let them gloat over me.	David asks for divine judgment in his favor to prevent his enemies from rejoicing in his misfortune.
Psalm 35:25	Negative	Desire for retribution	Medium	May they not say in their hearts, “Aha, just what we wanted!” May they not say, “We have swallowed him up!”	David wishes to prevent his enemies from achieving their malicious desires.
Psalm 35:26	Negative	Desire for retribution	High	May all who gloat over my distress be ashamed and confounded; may all who exalt themselves over me be clothed with shame and reproach.	David calls for shame upon those who revel in his suffering.
Psalm 35:27	Positive	Joy	Medium	May those who favor my vindication shout for joy and gladness; may they always say, “The LORD be exalted, who delights in His servant’s well-being.”	David envisions a joyful celebration of those who support his cause and praise God for his well-being.
Psalm 35:28	Positive	Reverence	Medium	My tongue will proclaim Your righteousness and Your praises all day long.	David vows to continually speak of God’s righteousness and sing His praises.
